I, [2020-08-16T19:13:27.981900 #21711]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.5.4)
E, [2020-08-16T19:13:27.984896 #21711] ERROR -- Kitchen: ------Exception-------
E, [2020-08-16T19:13:27.985554 #21711] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-08-16T19:13:27.986617 #21711] ERROR -- Kitchen: Message: Kitchen YAML file /mnt/c/Users/Jerome Tabiri/OneDrive/Documents/projects/ansible-playbooks/lab/chef-server/kitchen.yml does not exist.
E, [2020-08-16T19:13:27.987657 #21711] ERROR -- Kitchen: ----------------------
E, [2020-08-16T19:13:27.988638 #21711] ERROR -- Kitchen: ------Backtrace-------
E, [2020-08-16T19:13:27.989592 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/loader/yaml.rb:64:in `read'
E, [2020-08-16T19:13:27.991075 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/config.rb:153:in `data'
E, [2020-08-16T19:13:27.992009 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/config.rb:131:in `suites'
E, [2020-08-16T19:13:27.992707 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/config.rb:183:in `filter_instances'
E, [2020-08-16T19:13:27.993464 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/config.rb:142:in `build_instances'
E, [2020-08-16T19:13:27.994615 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/config.rb:116:in `instances'
E, [2020-08-16T19:13:27.995701 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/command.rb:111:in `filtered_instances'
E, [2020-08-16T19:13:27.996781 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/command.rb:141:in `parse_subcommand'
E, [2020-08-16T19:13:27.997922 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/command/action.rb:34:in `block in call'
E, [2020-08-16T19:13:27.998853 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/2.7.0/benchmark.rb:293:in `measure'
E, [2020-08-16T19:13:27.999904 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/command/action.rb:33:in `call'
E, [2020-08-16T19:13:28.001453 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/cli.rb:51:in `perform'
E, [2020-08-16T19:13:28.002097 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/cli.rb:197:in `block (2 levels) in <class:CLI>'
E, [2020-08-16T19:13:28.002779 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.0.1/lib/thor/command.rb:27:in `run'
E, [2020-08-16T19:13:28.003864 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.0.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2020-08-16T19:13:28.004873 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.0.1/lib/thor.rb:392:in `dispatch'
E, [2020-08-16T19:13:28.005870 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.0.1/lib/thor/base.rb:485:in `start'
E, [2020-08-16T19:13:28.006855 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/bin/kitchen:11:in `block in <top (required)>'
E, [2020-08-16T19:13:28.007852 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/lib/kitchen/errors.rb:170:in `with_friendly_errors'
E, [2020-08-16T19:13:28.008840 #21711] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.5.4/bin/kitchen:11:in `<top (required)>'
E, [2020-08-16T19:13:28.009870 #21711] ERROR -- Kitchen: /usr/bin/kitchen:360:in `load'
E, [2020-08-16T19:13:28.010760 #21711] ERROR -- Kitchen: /usr/bin/kitchen:360:in `<main>'
E, [2020-08-16T19:13:28.011516 #21711] ERROR -- Kitchen: ----End Backtrace-----
